OBJECTID,CRA_NO,Neighborhood ID,Community Reporting Area Name,Neighborhood Names,Neighborhood District,Area in Acres,Area in Sq. Miles,Total Population,Median age,White,White (%),African American,African American (%),American Indian and Alaska Native,American Indian and Alaska Native (%),Asian,Asian (%),Pacific Islander,Pacific Islander (%),Other race,Other race (%),Two or more races,Two or more races (%),Hispanic or Latino,Hispanic or Latino (%_,Population in Households,Population in Households (%),Population in Group Quarter ,Population in Group Quarter (%),Total Housholds,Family Households,Family Households (%),Non-Family Households,Non-Family Households (%),Avg. Household size,Total Housing Units,Occupied Housing Units,Occupied Housing Units (%),Vacant Housing Units,Vacant Housing Units (%_,Owner Owned Housing ,Owner Owned Housing  (%),Renter occupied housing,Renter occupied housing (%),POPULATION_5_YEARS_AND_OVER,Median Household Income,PCT_POPULATION_UNDER_POVERTY,PCT_ALL_FAMILY_UNDER_POVERTY,POP_POVERTY_STATUS_DETERMINED,POP_200_PCT_BELOW_POVERTY,PCT_POP_200_PCT_BELOW_POVERTY,PERSON_OF_COLOR,Population under 18,Population under 18 (%),PCT_PERSON_OF_COLOR,Civilian labor force,Civilian labor force employed,Civilian labor force unemployed,Not in labor force,HH_INCOME_LESS_THAN_10_000,HH_INCOME_10_000_TO_14_999,HH_INCOME_15_000_TO_24_999,HH_INCOME_25_000_TO_34_999,HH_INCOME_35_000_TO_49_999,HH_INCOME_50_000_TO_74_999,HH_INCOME_75_000_TO_99_999,HH_INCOME_100_000_TO_149_999,HH_INCOME_150_000_TO_199_999,HH_INCOME_200_000_OR_MORE,PERCENT_UNEMPLOYED,Population per Gross Acre,Housing Units per Gross Acre,Households per Gross Acre,SHAPE_Length,SHAPE_Area,Latitude,Longitude
16,5.1,5,Madrona/Leschi,"Madrona, Leschi, Harrison/Denny-Blaine",Central,827,1.29,11604,39.9,7146,61.6,1648,14.2,65,0.6,914,7.9,0,0,0,0,1265,10.9,566,4.9,11417,98.4,187,1.6,4671,2877,61.6,1794,38.4,2.44,4842,4671,96.5,171,3.5,2778,59.5,1893,40.5,11001,121549,9.6,6.1,11478,2262,19.7,4458,2219,19.1,38.4,6870,6695,175,2780,138,206,152,326,172,546,474,829,448,1380,2.5,14.03,5.85,5.65,40585.25238,36024341.27,47.606598,-122.28706
17,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",Northwest,1330,2.08,16460,34.6,12859,78.1,238,1.4,1,0,1817,11,0,0,25,0.2,842,5.1,678,4.1,16419,99.8,41,0.2,7451,3166,42.5,4285,57.5,2.2,7768,7451,95.9,317,4.1,3702,49.7,3749,50.3,15624,105587,10.8,4.2,16395,3080,18.8,3601,2442,14.8,21.9,10656,10361,295,3473,429,224,400,374,541,1032,918,1272,853,1408,2.8,12.38,5.84,5.6,34020.96449,57934789.28,47.678545,-122.327506
18,3.2,3,Georgetown,Georgetown,Greater Duwamish,1183.9,1.85,1045,41,824,78.9,18,1.7,6,0.6,27,2.6,0,0,0,0,65,6.2,105,10,1045,100,0,0,620,184,29.7,436,70.3,1.69,697,620,89,77,11,299,48.2,321,51.8,1023,58611,7.8,0,1041,233,22.4,221,64,6.1,21.1,827,771,56,154,43,20,100,59,56,144,52,110,24,12,6.8,0.88,0.59,0.52,44780.41907,51570826.04,47.546259,-122.319237
19,2.2,2,High Point,"High Point, Delridge",Delridge Neighborhoods,553.2,0.86,8336,32.5,3003,36,2889,34.7,0,0,1220,14.6,127,1.5,6,0.1,428,5.1,663,8,8281,99.3,55,0.7,3025,1920,63.5,1105,36.5,2.74,3223,3025,93.9,198,6.1,1208,39.9,1817,60.1,7315,52121,29.3,28.3,8286,4225,51,5333,2495,29.9,64,4185,3694,491,1834,265,300,332,256,377,386,298,414,191,206,11.7,15.07,5.83,5.47,22626.00822,24096694.21,47.543675,-122.367893
20,7.2,7,University District,"University District, Cowen Park, Ravenna",Northeast,957,1.5,19823,22.2,10995,55.5,543,2.7,200,1,5309,26.8,57,0.3,37,0.2,1436,7.2,1246,6.3,12210,61.6,7613,38.4,5677,994,17.5,4683,82.5,2.15,6210,5677,91.4,533,8.6,722,12.7,4955,87.3,19630,29215,44.8,9.1,12571,7552,60.1,8828,639,3.2,44.5,10687,9447,1240,8671,1422,434,610,457,696,661,372,462,298,265,11.6,20.71,6.49,5.93,41126.82707,41688139.77,47.659886,-122.314455
21,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",North,1393.5,2.18,15618,37.8,9621,61.6,990,6.3,120,0.8,2583,16.5,112,0.7,106,0.7,829,5.3,1257,8,15501,99.3,117,0.7,6968,3831,55,3137,45,2.22,7398,6968,94.2,430,5.8,3995,57.3,2973,42.7,14762,66298,11.9,8.1,15584,3501,22.5,5997,2450,15.7,38.4,9288,8889,399,4099,388,211,530,405,941,1579,926,1150,487,351,4.3,11.21,5.31,5,39947.95715,60698770.11,47.722723,-122.307943
22,6.5,6,Madison Park,"Madison Park, Broadmoor, Washington Park, Harrison/Denny-Blaine",East,558.6,0.87,5510,45.7,4811,87.3,97,1.8,0,0,205,3.7,0,0,19,0.3,308,5.6,70,1.3,5485,99.5,25,0.5,2631,1426,54.2,1205,45.8,2.08,2886,2631,91.2,255,8.8,1682,63.9,949,36.1,5365,134811,4.9,2.3,5485,400,7.3,699,940,17.1,12.7,2885,2749,136,1870,50,33,127,115,228,241,279,332,245,981,4.7,9.86,5.17,4.71,26794.54308,24333969.5,47.634016,-122.281021
23,6.4,6,Miller Park,"Madison-Miller, Miller Park, Capitol Hill, Stevens",East,364.2,0.57,7832,36.2,6185,79,210,2.7,9,0.1,555,7.1,0,0,9,0.1,366,4.7,498,6.4,7721,98.6,111,1.4,3549,1604,45.2,1945,54.8,2.18,3643,3549,97.4,94,2.6,1761,49.6,1788,50.4,7411,118610,8.8,6,7793,1326,17,1647,1196,15.3,21,5053,4792,261,1698,191,85,106,122,415,478,332,621,383,816,5.2,21.5,10,9.74,18141.31214,15863125.85,47.623968,-122.30667
24,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",Southwest,1447.5,2.26,20345,41.1,16635,81.8,193,0.9,32,0.2,1388,6.8,0,0,84,0.4,1132,5.6,881,4.3,20063,98.6,282,1.4,9448,4966,52.6,4482,47.4,2.12,9922,9448,95.2,474,4.8,5995,63.5,3453,36.5,19442,99203,6.3,2.6,20104,2582,12.8,3710,3716,18.3,18.2,12302,11968,334,4558,395,149,578,509,939,1314,1090,1770,1428,1276,2.7,14.06,6.85,6.53,38739.89626,63054619.62,47.564317,-122.382557
25,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",Greater Duwamish,1232,1.92,15847,35.9,5319,33.6,2083,13.1,136,0.9,4653,29.4,29,0.2,86,0.5,981,6.2,2560,16.2,15632,98.6,215,1.4,6094,3619,59.4,2475,40.6,2.57,6602,6094,92.3,508,7.7,2764,45.4,3330,54.6,14991,67657,14.5,12.2,15678,5253,33.5,10528,2956,18.7,66.4,9610,8971,639,3619,542,361,348,431,721,1156,742,900,545,348,6.6,12.86,5.36,4.95,37207.46399,53665453.19,47.570315,-122.309121
